peak_ground_acceleration,density,internal_friction_angle,rock_cohesion,slope,m_before,m_after,time
0.7,26.5,44,40,54.4076004,0,0.855295865,2011
0.68,26.5,44,40,39.2784004,0,0.889443406,2011
0.68,26.5,44,40,30.9372997,0,0.889443406,2011
0.68,26.5,44,40,48.6021996,0,0.889443406,2011
0.68,26.5,44,40,46.0901985,0,0.889443406,2011
0.68,26.5,44,40,44.5503006,0,0.889443406,2011
0.68,26.5,44,40,43.4362984,0,0.889443406,2011
0.68,26.5,44,40,44.1389999,0,0.855295865,2011
0.68,26.5,44,40,42.9255981,0,0.889443406,2011
0.86,26.5,44,40,42.0105019,0,0.804695506,2011
0.68,26.5,44,40,45.2617989,0,0.889443406,2011
0.68,26.5,44,40,43.8452988,0,0.889443406,2011
0.68,26.5,44,40,39.0934982,0,0.889443406,2011
0.68,26.5,44,40,29.8148003,0,0.889443406,2011
0.68,26.5,44,40,41.9464989,0,0.889443406,2011
0.68,26.5,44,40,47.4981003,0,0.889443406,2011
0.68,26.5,44,40,34.3835983,0,0.889443406,2011
0.68,26.5,44,40,43.2877998,0,0.889443406,2011
0.68,26.5,44,40,37.8874016,0,0.889443406,2011
0.68,26.5,44,40,42.5088005,0,0.889443406,2011
0.88,26.5,44,40,40.5495987,0,0.804695506,2011
0.68,26.5,44,40,56.5499992,0,0.889443406,2011
0.68,26.5,44,40,43.105999,0,0.889443406,2011
0.68,26.5,44,40,47.4557991,0,0.889443406,2011
0.68,26.5,44,40,45.2974014,0,0.889443406,2011
0.68,26.5,44,40,25.6706009,0,0.889443406,2011
0.66,26.5,44,40,46.1357002,0,0.889443406,2011
0.68,26.5,44,40,40.096199,0,0.889443406,2011
0.68,26.5,44,40,40.6321983,0,0.889443406,2011
0.68,26.5,44,40,37.1184006,0,0.889443406,2011
0.68,27,43,40,43.3021011,0,0.889443406,2011
0.92,26.5,44,40,47.592701,0,0.862284336,2011
0.72,26.5,44,40,43.7673988,0,0.851353403,2011
0.7,26.5,44,40,56.6315002,0,0.851353403,2011
0.7,26.5,44,40,56.7495003,0,0.851353403,2011
0.7,26.5,44,40,47.2748985,0,0.851353403,2011
0.7,26.5,44,40,45.7942009,0,0.851353403,2011
0.7,26.5,44,40,42.7252007,0,0.851353403,2011
0.7,26.5,44,40,36.8723984,0,0.851353403,2011
0.7,26.5,44,40,46.645401,0,0.851353403,2011
0.7,26.5,44,40,42.4598999,0,0.851353403,2011
0.7,26.5,44,40,40.8195992,0,0.851353403,2011
0.9,26.5,44,40,34.0003014,0,0.862284336,2011
0.72,26.5,44,40,46.7979012,0,0.786810756,2011
0.72,26.8,36,27,50.3532982,0,0.786810756,2011
0.7,26.5,44,40,45.0681992,0,0.855295865,2011
0.68,26.5,44,40,48.7998009,0,0.855295865,2011
0.66,26.5,44,40,44.8880997,0,0.889443406,2011
0.8,26.5,44,40,42.0418015,0,0.854669269,2011
0.8,26.5,44,40,44.8078995,0,0.854669269,2011
0.78,27,43,40,41.6713982,0,0.854669269,2011
0.78,27,43,40,32.9314995,0,0.854669269,2011
0.78,27,43,40,49.1851006,0,0.854669269,2011
0.9,26.5,44,40,34.3566017,0,0.862284336,2011
0.78,27,43,40,63.7055016,0,0.854669269,2011
0.78,27,43,40,42.2947998,0,0.854669269,2011
0.78,26.5,44,40,44.3456001,0,0.854669269,2011
0.78,26.5,44,40,66.1222992,0,0.854669269,2011
0.78,26.5,44,40,59.7369995,0,0.854669269,2011
0.78,26.5,44,40,52.4258995,0,0.854669269,2011
0.78,26.5,44,40,39.0853004,0,0.854669269,2011
0.78,26.5,44,40,41.2275009,0,0.854669269,2011
0.76,26.5,44,40,53.0222015,0,0.854669269,2011
0.76,26.5,44,40,55.0724983,0,0.854669269,2011
0.88,26.5,44,40,38.2826996,0,0.833958769,2011
0.8,26.5,44,40,43.7431984,0,0.854669269,2011
0.8,26.5,44,40,55.7042999,0,0.854669269,2011
0.8,26.5,44,40,54.2677994,0,0.854669269,2011
0.8,26.5,44,40,46.3083,0,0.854669269,2011
0.8,26.5,44,40,49.5466995,0,0.854669269,2011
0.8,26.5,44,40,39.9836998,0,0.854669269,2011
0.8,26.5,44,40,34.4500008,0,0.854669269,2011
0.8,26.5,44,40,57.0648994,0,0.854669269,2011
0.78,27,44,40,47.8363991,0,0.854669269,2011
0.78,26.5,44,40,43.2714996,0,0.854669269,2011
0.88,26.5,44,40,48.8386993,0,0.804695506,2011
0.78,26.5,44,40,50.3711014,0,0.854669269,2011
0.78,27,43,40,54.4183006,0,0.854669269,2011
0.8,26.5,44,40,57.1977005,0,0.854669269,2011
0.8,26.5,44,40,61.353199,0,0.854669269,2011
0.8,26.5,44,40,57.1977005,0,0.854669269,2011
0.78,27,43,40,46.2784996,0,0.854669269,2011
0.78,27,43,40,44.5751991,0,0.854669269,2011
0.78,27,43,40,47.3336983,0,0.854669269,2011
0.78,27,43,40,49.0915985,0,0.854669269,2011
0.78,27,43,40,42.0821991,0,0.854669269,2011
0.86,26.5,44,40,23.9328003,0,0.804695506,2011
0.78,26.5,44,40,51.5513992,0,0.854669269,2011
0.78,27,43,40,44.4286995,0,0.854669269,2011
0.78,26.5,44,40,47.5497017,0,0.854669269,2011
0.78,27,43,40,47.5886002,0,0.854669269,2011
0.78,26.5,44,40,55.6021004,0,0.854669269,2011
0.78,26.5,44,40,51.7277985,0,0.854669269,2011
0.78,26.5,44,40,44.3501015,0,0.854669269,2011
0.76,26.5,44,40,49.6525002,0,0.89408839,2011
0.78,26.5,44,40,38.1683998,0,0.854669269,2011
0.8,26.5,44,40,40.1750984,0,0.786810756,2011
0.88,26.5,44,40,42.8282013,0,0.833958769,2011
0.8,26.5,44,40,52.0237007,0,0.786810756,2011
0.8,26.5,44,40,50.5555992,0,0.786810756,2011
0.8,26.5,44,40,39.1890984,0,0.786810756,2011
0.8,26.5,44,40,58.8227997,0,0.786810756,2011
0.8,26.5,44,40,57.1717987,0,0.786810756,2011
0.8,26.5,44,40,49.4963989,0,0.854669269,2011
0.8,26.5,44,40,51.3624992,0,0.854669269,2011
0.8,26.5,44,40,42.0964012,0,0.854669269,2011
0.8,26.5,44,40,40.5954018,0,0.854669269,2011
0.78,27,43,40,48.2140999,0,0.854669269,2011
0.9,26.2,42,39,30.6478004,0,0.862284336,2011
0.82,26.2,42,39,30.3808002,0,0.804695506,2011
0.78,26.5,44,40,38.8149986,0,0.854669269,2011
0.76,26.5,44,40,48.2456017,0,0.854669269,2011
0.7,26.5,44,40,38.6944008,0,0.855295865,2011
0.7,26.5,44,40,54.6313019,0,0.855295865,2011
0.72,26.5,44,40,17.5414009,0,0.855295865,2011
0.72,26.5,44,40,37.578701,0,0.855295865,2011
0.72,26.5,44,40,41.2587013,0,0.855295865,2011
0.74,26.5,44,40,54.3972015,0,0.786810756,2011
0.74,26.5,44,40,56.8232994,0,0.786810756,2011
0.74,26.5,44,40,52.9436989,0,0.786810756,2011
0.9,26.2,42,39,34.2697983,0,0.862284336,2011
0.76,26.5,44,40,48.3368988,0,0.854669269,2011
0.78,26.5,44,40,48.2703018,0,0.786810756,2011
0.78,26.5,44,40,45.0574989,0,0.786810756,2011
0.78,26.5,44,40,48.9487,0,0.786810756,2011
0.78,26.5,44,40,49.9819984,0,0.786810756,2011
0.76,26.5,44,40,43.5884018,0,0.854669269,2011
0.76,26.5,44,40,43.6320992,0,0.854669269,2011
0.72,26.5,44,40,47.3326988,0,0.855295865,2011
0.72,26.5,44,40,47.3830986,0,0.855295865,2011
0.72,26.5,44,40,39.7610016,0,0.855295865,2011
0.9,26.5,44,40,40.0261993,0,0.862284336,2011
0.72,26.5,44,40,42.0774002,0,0.855295865,2011
0.74,26.5,44,40,53.5419006,0,0.855295865,2011
0.72,26.5,44,40,48.5489006,0,0.855295865,2011
0.74,26.5,44,40,44.3955002,0,0.786810756,2011
0.76,26.5,44,40,40.4062004,0,0.786810756,2011
0.78,26.5,44,40,47.1917,0,0.786810756,2011
0.76,26.5,44,40,42.1030006,0,0.854669269,2011
0.76,26.5,44,40,43.8424988,0,0.854669269,2011
0.78,26.5,44,40,45.7238998,0,0.854669269,2011
0.78,26.5,44,40,58.9077988,0,0.854669269,2011
0.9,26.5,44,40,39.098999,0,0.862284336,2011
0.78,26.5,44,40,58.4121017,0,0.854669269,2011
0.8,26.5,44,40,44.0018005,0,0.854669269,2011
0.78,26.5,44,40,46.3157005,0,0.854669269,2011
0.8,26.5,44,40,51.915699,0,0.854669269,2011
0.8,26.5,44,40,53.8755989,0,0.854669269,2011
0.8,27,43,40,49.2461014,0,0.89408839,2011
0.62,27,43,40,45.1529999,0,0.889443406,2011
0.64,27,43,40,39.0708008,0,0.889443406,2011
0.64,27,43,40,51.6741982,0,0.889443406,2011
0.5,26.5,44,40,45.4533005,0,0.870727074,2011
0.9,26.2,42,39,29.9831009,0,0.862284336,2011
0.52,27.8,35,27,53.125,0,0.870727074,2011
0.54,27.8,35,27,48.2896004,0,0.870727074,2011
0.66,29,45,45,53.1106987,0,0.870727074,2011
0.66,29,45,45,51.6269989,0,0.870727074,2011
0.5,26.5,44,40,47.8223,0,0.870727074,2011
0.5,26.5,44,40,46.392601,0,0.870727074,2011
0.5,26.5,44,40,38.9832993,0,0.870727074,2011
0.5,26.5,44,40,43.4734993,0,0.870727074,2011
0.52,27.8,35,27,51.6421013,0,0.870727074,2011
0.52,27.8,35,27,56.7980995,0,0.870727074,2011
0.9,26.5,44,40,41.5653992,0,0.862284336,2011
0.54,27.8,35,27,53.1487007,0,0.870727074,2011
0.54,27.8,35,27,43.3400993,0,0.870727074,2011
0.54,27.8,35,27,39.0765991,0,0.870727074,2011
0.54,27.8,35,27,47.7658005,0,0.870727074,2011
0.54,27.8,35,27,47.6643982,0,0.870727074,2011
0.56,27.8,35,27,50.6102982,0,0.870727074,2011
0.56,27.8,35,27,47.9440002,0,0.870727074,2011
0.56,27.8,35,27,52.3763008,0,0.870727074,2011
